Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
University of California-Santa Barbara,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,30%,Not Considered,-,-,-,-,-,"$42,795 (IS) / $76,645 (OS)",Not Reported,"$30,240",83%,,38%,None,"$56,852","$74,915","$992,000",92%,70%,85%,,"$76,773",Santa Barbara,CA,63°/43°,67°/49°,73°/58°,72°/53°,38,283,"23,181",58%,42%,2%,20%,28%,31%,,9%
University of California-Santa Cruz,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,77%,Not Considered,-,-,-,-,-,"$42,159 (IS) / $79,761 (OS)",Not Reported,"$26,954",86%,,49%,None,,,,89%,61%,76%,,"$79,150",Santa Cruz,CA,61°/39°,71°/44°,82°/53°,76°/47°,68,260,"17,940",53%,47%,2%,24%,29%,31%,,3%
University of Central Florida (UCF),N/A,Not Reported,Not Reported,71%,28%,590-670,610-680,25-29,23%,Not Considered,-,-,-,-,-,"$24,330 (IS) / $42,038 (OS)",Not Reported,"$8,801",75%,,12%,None,,,,92%,55%,76%,,"$63,749",Orlando,FL,71°/49°,83°/60°,92°/74°,85°/66°,114,233,"59,649",53%,47%,9%,8%,32%,43%,,3%
University of Chicago,N/A,Not Reported,Not Reported,49%,27%,770-800,740-780,34-35,Not Reported,Not Considered,Nov 15,Jan 15,Nov 15,-,Jan 5,"$98,301",4%,"$16,338",100%,"$78,383",58%,Through Sophomore Year,"$80,870","$91,885","$1,142,000",99%,87%,96%,,,Chicago,IL,33°/20°,59°/42°,84°/68°,64°/48°,125,189,"7,519",46%,54%,7%,19%,17%,30%,,18%
University of Cincinnati,N/A,Not Reported,Not Reported,11%,31%,590-700,570-670,24-29,69%,Considered,-,-,-,-,-,"$36,732 (IS) / $53,744 (OS)",Not Reported,"$9,106",39%,,21%,Through Freshman Year,,,,86%,42%,73%,,,Cincinnati,OH,39°/22°,65°/42°,86°/65°,67°/44°,121,176,"33,572",51%,49%,9%,5%,5%,69%,,5%
University of Colorado Boulder,N/A,Not Reported,Not Reported,43%,12%,590-700,600-700,27-33,82%,Not Considered,-,-,-,-,-,"$37,352 (IS) / $67,494 (OS)",57%,"$10,363",73%,"$19,395",26%,Through Freshman Year,"$54,939","$69,738","$891,000",89%,57%,75%,,"$75,204",Boulder,CO,47°/19°,62°/34°,88°/57°,66°/36°,88,245,"33,384",47%,53%,2%,6%,14%,67%,,3%
University of Connecticut (UConn),N/A,Not Reported,Not Reported,36%,5%,600-730,610-710,28-33,70%,Not Considered,-,-,-,-,-,"$41,432 (IS) / $64,100 (OS)",Not Reported,"$20,744",62%,,67%,Through Freshman Year,"$63,322","$73,997","$1,020,000",92%,73%,83%,,"$74,262",Storrs,CT,34°/15°,57°/36°,80°/60°,61°/40°,122,191,"20,056",55%,45%,8%,13%,17%,51%,,7%
University of Dallas,N/A,Not Reported,Not Reported,40%,19%,540-670,580-700,22-29,23%,Very Important,-,-,-,-,-,"$76,220",Not Reported,"$46,561",90%,,66%,Through Junior Year,,,,79%,37%,72%,,,Irving,TX,55°/35°,75°/54°,95°/75°,78°/56°,79,232,"1,444",53%,47%,3%,8%,29%,54%,,2%
University of Delaware,N/A,Not Reported,Not Reported,19%,3%,590-690,610-700,28-32,55%,Considered,-,-,-,-,-,"$37,884 (IS) / $63,444 (OS)",Not Reported,"$15,929",64%,,37%,Through Freshman Year,"$58,846","$72,950","$1,001,000",91%,74%,83%,Eugene du Pont Scholars,,Newark,DE,41°/24°,65°/42°,87°/66°,67°/45°,112.5,201,"19,287",61%,39%,6%,6%,10%,68%,,3%
University of Denver,N/A,Not Reported,Not Reported,24%,13%,580-690,610-700,28-32,49%,Considered,-,-,-,-,-,"$85,264",Not Reported,"$45,435",89%,,47%,Through Sophomore Year,"$57,118","$71,155","$862,000",87%,66%,77%,,,Denver,CO,47°/18°,63°/35°,89°/59°,66°/36°,83,245,"6,619",55%,45%,3%,4%,14%,67%,,3%
University of Florida,N/A,Not Reported,Not Reported,70%,30%,660-760,660-740,30-34,32%,Not Considered,-,-,-,-,Mar 1,"$24,181 (IS) / $48,686 (OS)",3%,"$3,666",99%,"$11,236",25%,None,"$56,398","$71,588","$1,020,000",97%,83%,91%,,"$77,715",Gainesville,FL,67°/41°,81°/54°,92°/71°,82°/59°,113,224,"36,573",55%,45%,5%,12%,25%,49%,,3%
University of Georgia,N/A,Not Reported,Not Reported,70%,46%,600-710,620-710,26-32,21%,Not Considered,-,-,-,-,Jan 1,"$29,566 (IS) / $50,410 (OS)",Not Reported,"$13,372",78%,,66%,Through Freshman Year,"$57,565","$68,726","$901,000",95%,76%,88%,The Foundation Fellowship,"$67,164",Athens,GA,53°/32°,72°/48°,90°/69°,73°/51°,111.6,218,"32,399",57%,43%,6%,13%,8%,66%,,1%
University of Houston,N/A,Not Reported,Not Reported,46%,6%,570-670,590-670,23-29,82%,Not Considered,-,-,-,-,-,"$23,174 (IS) / $39,062 (OS)",Not Reported,"$12,813",58%,,18%,None,"$52,768","$62,377","$846,000",86%,43%,64%,,,Houston,TX,63°/45°,79°/61°,92°/76°,82°/63°,86,204,"39,257",52%,48%,12%,23%,38%,16%,,6%
University of Idaho,N/A,Not Reported,Not Reported,53%,4%,490-600,500-630,20-26,32%,Not Considered,-,-,-,-,-,"$28,284 (IS) / $47,520 (OS)",Not Reported,"$14,819",68%,,42%,Through Freshman Year,,,,75%,43%,60%,,,Moscow,ID,37°/26°,57°/36°,83°/49°,60°/36°,116,169,"9,574",49%,51%,1%,1%,10%,73%,,7%
University of Illinois at Chicago (UIC),N/A,Not Reported,Not Reported,30%,5%,560-680,570-670,25-31,51%,Not Considered,-,-,-,-,-,"$40,006 (IS) / $55,552 (OS)",Not Reported,"$18,401",57%,,15%,None,,,,79%,42%,62%,,"$64,493",Chicago,IL,33°/20°,59°/42°,84°/68°,64°/48°,124,189,"22,495",53%,47%,8%,21%,36%,22%,,7%
University of Illinois at Urbana-Champaign (UIUC),N/A,Not Reported,Not Reported,41%,14%,700-790,680-750,30-34,34%,Not Considered,-,-,-,-,-,"$36,930 (IS) / $57,282 (OS)",Not Reported,"$21,943",77%,,34%,Through Freshman Year,"$64,802","$81,054","$1,098,000",94%,73%,85%,,"$84,100",Champaign,IL,33°/17°,63°/40°,84°/64°,65°/42°,111,194,"37,140",48%,52%,5%,23%,14%,38%,,14%
University of Iowa,N/A,Not Reported,Not Reported,19%,57%,560-660,570-670,21-28,44%,Not Considered,-,-,-,-,-,"$30,850 (IS) / $52,938 (OS)",Not Reported,"$11,491",75%,,28%,None,,,,89%,58%,74%,,"$73,839",Iowa City,IA,30°/13°,63°/40°,85°/64°,64°/41°,98,196,"22,738",57%,43%,3%,4%,9%,74%,,1%
University of Kansas,N/A,Not Reported,Not Reported,9%,55%,530-650,540-650,20-28,93%,Not Considered,-,-,-,-,-,"$28,808 (IS) / $47,138 (OS)",Not Reported,"$12,559",81%,,27%,None,,,,85%,55%,68%,,,Lawrence,KS,39°/18°,66°/43°,89°/68°,68°/44°,91.5,211,"22,085",54%,46%,4%,6%,11%,69%,,3%
University of Kentucky,N/A,Not Reported,Not Reported,7%,50%,530-640,540-650,21-28,93%,Not Considered,-,-,-,-,-,"$37,521 (IS) / $58,778 (OS)",Not Reported,"$9,636",59%,,32%,None,,,,86%,55%,70%,,"$69,338",Lexington,KY,41°/24°,66°/43°,86°/66°,68°/45°,119.4,190,"25,534",58%,42%,6%,4%,7%,76%,,1%
University of Louisville,N/A,Not Reported,Not Reported,18%,85%,510-630,530-640,19-27,40%,Not Considered,-,-,-,-,-,"$34,714 (IS) / $51,060 (OS)",Not Reported,"$16,423",65%,,26%,Through Sophomore Year,,,,79%,44%,62%,,"$68,499",Louisville,KY,42°/26°,68°/46°,88°/68°,69°/47°,115,195,"17,086",56%,44%,16%,6%,9%,61%,,2%
University of Maine,N/A,Not Reported,Not Reported,16%,2%,520-640,530-650,21-30,77%,Not Considered,-,-,-,-,-,"$30,296 (IS) / $54,446 (OS)",Not Reported,"$14,359",78%,,42%,Through Freshman Year,,,,78%,41%,56%,,,Orono,ME,28°/7°,53°/33°,80°/58°,57°/37°,121,178,"9,601",47%,53%,2%,2%,5%,82%,,2%
University of Mary Washington,N/A,Not Reported,Not Reported,26%,4%,560-660,610-710,27-31,50%,Considered,-,-,-,-,-,"$34,464 (IS) / $47,970 (OS)",Not Reported,"$5,722",55%,,57%,Through Sophomore Year,,,,83%,57%,68%,,,Fredericksburg,VA,45°/24°,68°/42°,88°/66°,70°/44°,117,198,"3,660",64%,36%,8%,4%,13%,59%,,3%
University of Maryland-Baltimore County (UMBC),N/A,Not Reported,Not Reported,27%,3%,610-720,630-700,25-31,72%,Not Considered,-,-,-,-,-,"$33,674 (IS) / $51,360 (OS)",Not Reported,"$13,000",57%,,36%,None,,,,86%,48%,70%,,"$73,112",Baltimore,MD,43°/27°,67°/46°,88°/69°,68°/49°,114,213,"10,767",46%,54%,25%,24%,10%,28%,,5%
University of Maryland-College Park (UMD),N/A,Not Reported,Not Reported,37%,6%,710-780,680-750,32-35,Not Reported,Not Considered,-,-,-,-,-,"$31,432 (IS) / $60,809 (OS)",Not Reported,"$15,641",67%,,39%,None,"$67,785","$82,860","$1,099,000",96%,77%,89%,Banneker/Key Scholars,"$80,466",College Park,MD,43°/26°,66°/44°,89°/69°,69°/46°,112,202,"31,133",49%,51%,13%,24%,11%,39%,,3%
University of Massachusetts-Amherst,N/A,Not Reported,Not Reported,22-27%*,1-3%*,,,,53%,Not Considered,-,-,-,-,-,"$37,853 (IS) / $61,125 (OS)",Not Reported,"$16,505",87%,,60%,Through Freshman Year,"$60,347","$71,631","$908,000",91%,75%,83%,,"$75,518",Amherst,MA,33°/13°,58°/35°,82°/59°,61°/38°,118,190,"23,920",52%,48%,5%,14%,9%,57%,,8%
University of Massachusetts-Boston,N/A,Not Reported,Not Reported,22-27%*,1-3%*,,,,87%,Considered,-,-,-,-,-,"$39,810 (IS) / $62,027 (OS)",Not Reported,"$14,664",79%,,9%,None,,,,73%,33%,50%,,,Boston,MA,36°/20°,57°/39°,82°/64°,62°/44°,128,201,"12,138",55%,45%,18%,16%,21%,30%,,7%
University of Massachusetts-Lowell,N/A,Not Reported,Not Reported,22-27%*,1-3%*,,,,88%,Considered,-,-,-,-,-,"$36,154 (IS) / $55,950 (OS)",Not Reported,"$17,059",93%,,40%,None,,,,83%,44%,69%,,"$74,576",Lowell,MA,34°/15°,58°/36°,83°/61°,62°/39°,124,201,"12,122",42%,58%,10%,14%,17%,49%,,3%
University of Miami (UM),N/A,Not Reported,Not Reported,33%,19%,660-750,660-730,30-33,10%,Considered,Nov 1,-,Nov 1,-,Jan 1,"$98,118",Not Reported,"$51,153",100%,,36%,Through Freshman Year,"$61,508","$75,328","$920,000",93%,74%,84%,Ronald A. Hammond Scholarship; Isaac Bashevis Singer Scholarship,,Coral Gables,FL,75°/61°,82°/69°,89°/78°,85°/74°,130,249,"13,250",55%,45%,7%,5%,24%,49%,,8%
University of Michigan,N/A,16%,16%,51%,18%,680-780,680-750,31-34,Not Reported,Considered,-,-,Nov 1,-,Feb 1,"$39,699 (IS) / $86,405 (OS)",14%,"$4,538",91%,"$26,971",25%,None,"$73,762","$83,648","$1,140,000",97%,82%,93%,,"$79,389",Ann Arbor,MI,31°/17°,59°/37°,83°/61°,62°/40°,140,180,"34,454",54%,46%,5%,18%,12%,47%,,8%
University of Minnesota-Duluth,N/A,Not Reported,Not Reported,1-8%*,27-40%*,,,,84%,Not Considered,-,-,-,-,-,"$29,980 (IS) / $35,730 (OS)",Not Reported,"$10,993",79%,,38%,None,,,,79%,48%,64%,,,Duluth,MN,21°/3°,48°/30°,75°/56°,52°/36°,114,179,"8,426",49%,51%,2%,3%,4%,83%,,1%
University of Minnesota-Morris,N/A,Not Reported,Not Reported,1-8%*,27-40%*,,,,89%,Considered,-,-,-,-,-,"$30,216 (IS) / $32,510 (OS)",Not Reported,"$14,116",73%,,52%,None,,,,74%,50%,60%,,,Morris,MN,21°/2°,56°/33°,82°/60°,57°/35°,99,198,981,52%,48%,2%,1%,8%,50%,,4%
University of Minnesota-Twin Cities,N/A,Not Reported,Not Reported,1-8%*,27-40%*,,,,82%,Not Considered,-,-,-,-,-,"$36,662 (IS) / $59,548 (OS)",Not Reported,"$16,992",74%,,23%,None,"$57,984","$69,020","$917,000",91%,75%,85%,,"$72,022",Minneapolis,MN,24°/8°,59°/38°,85°/64°,59°/40°,110.6,196,"41,303",54%,46%,10%,13%,7%,57%,,6%
University of Mississippi (Ole Miss),N/A,Not Reported,Not Reported,23%,60%,490-590,510-610,21-29,100%,Not Considered,-,-,-,-,-,"$31,314 (IS) / $51,474 (OS)",Not Reported,"$12,564",78%,,31%,Through Freshman Year,,,,88%,57%,69%,,,University,MS,52°/29°,74°/48°,92°/70°,76°/49°,103,215,"21,585",57%,43%,10%,2%,6%,78%,,1%
University of Missouri-Columbia (Mizzou),N/A,Not Reported,Not Reported,10%,60%,570-660,580-670,23-30,40%,Not Considered,-,-,-,-,-,"$34,940 (IS) / $57,212 (OS)",Not Reported,"$16,583",71%,,27%,Through Freshman Year,,,,90%,56%,75%,,"$69,897",Columbia,MO,39°/21°,66°/44°,88°/68°,68°/45°,110,192,"24,449",55%,45%,5%,3%,6%,79%,,1%
University of Nebraska-Lincoln (UNL),N/A,Not Reported,Not Reported,7%,82%,538-660,560-670,22-28,43%,Not Considered,-,-,-,-,-,"$28,654 (IS) / $46,984 (OS)",Not Reported,"$8,222",66%,,50%,Through Freshman Year,,,,83%,50%,66%,,"$71,015",Lincoln,NE,35°/14°,64°/39°,89°/66°,66°/40°,86,214,"19,701",50%,50%,3%,4%,10%,76%,,3%
University of Nevada-Las Vegas (UNLV),N/A,Not Reported,Not Reported,9-14%*,59-65%*,,,,86%*,Not Considered,-,-,-,-,-,"$27,988 (IS) / $45,651 (OS)",Not Reported,"$7,128",65%,,4%,Through Freshman Year,,,,78%,26%,49%,,"$46,087",Las Vegas,NV,58°/37°,78°/53°,104°/78°,80°/56°,26,294,"27,135",56%,44%,9%,17%,36%,24%,,2%
University of Nevada-Reno,N/A,Not Reported,Not Reported,9-14%*,59-65%*,,,,Not Reported,Not Considered,-,-,-,-,-,"$29,508 (IS) / $48,140 (OS)",Not Reported,"$9,850",52%,,19%,None,,,,80%,42%,62%,,"$67,473",Reno,NV,45°/24°,63°/35°,91°/56°,68°/38°,51,252,"19,122",54%,46%,3%,8%,25%,50%,,1%
University of New Hampshire (UNH),N/A,Not Reported,Not Reported,23%,2%,540-660,550-670,26-30,86%,Not Considered,-,-,-,-,-,"$39,098 (IS) / $60,260 (OS)",Not Reported,"$10,089",71%,,58%,Through Sophomore Year,,,,87%,67%,77%,,"$76,460",Durham,NH,33°/13°,57°/34°,81°/58°,61°/38°,118,199,"11,365",56%,44%,1%,3%,4%,85%,,1%
University of North Carolina at Asheville,N/A,Not Reported,Not Reported,2-28%*,10-41%*,,,,100%,Considered,-,-,-,-,-,"$23,840 (IS) / $41,188 (OS)",Not Reported,"$10,219",58%,,55%,Through Freshman Year,,,,72%,43%,58%,,,Asheville,NC,47°/25°,67°/42°,84°/62°,68°/43°,118,212,"3,030",59%,41%,6%,2%,10%,73%,,2%
University of North Carolina at Chapel Hill,N/A,15%,7%,2-28%*,10-41%*,,,,14%,Not Considered,-,-,Dec 1,-,Jan 15,"$27,766 (IS) / $63,898 (OS)",Not Reported,"$17,987",100%,,43%,Through Freshman Year,"$57,057","$72,200","$970,000",97%,84%,92%,Morehead-Cain Scholarship; Robertson Scholars,,Chapel Hill,NC,50°/29°,71°/46°,89°/69°,72°/48°,114,216,"21,075",61%,39%,7%,16%,10%,53%,,6%
University of North Carolina at Charlotte,N/A,Not Reported,Not Reported,2-28%*,10-41%*,,,,74%,Considered,-,-,-,-,-,"$24,868 (IS) / $40,122 (OS)",Not Reported,"$9,433",63%,,25%,Through Freshman Year,,,,85%,50%,68%,,"$70,829",Charlotte,NC,51°/30°,72°/47°,90°/69°,72°/49°,105,218,"24,868",49%,51%,18%,11%,16%,46%,,2%
University of North Carolina at Greensboro,N/A,Not Reported,Not Reported,2-28%*,10-41%*,,,,87%,Not Considered,-,-,-,-,-,"$25,332 (IS) / $41,684 (OS)",Not Reported,"$10,814",71%,,38%,None,,,,76%,39%,58%,,,Greensboro,NC,49°/30°,71°/47°,89°/69°,71°/49°,111,217,"14,416",66%,34%,31%,6%,17%,38%,,1%
University of North Carolina-Wilmington,N/A,Not Reported,Not Reported,2-28%*,10-41%*,,,,Not Reported,Considered,-,-,-,-,-,"$29,170 (IS) / $47,324 (OS)",Not Reported,"$7,760",58%,,34%,Through Sophomore Year,,,,85%,56%,72%,,,Wilmington,NC,56°/34°,74°/50°,90°/72°,76°/54°,119,215,"15,254",63%,37%,4%,2%,9%,79%,,1%
University of Notre Dame,N/A,Not Reported,Not Reported,33%,26%,735-790,720-770,33-35,7%,Not Considered,-,-,Nov 1,-,Jan 2,"$89,245",2%,"$22,952",100%,"$57,934",82%,Through Junior Year,"$86,210","$99,980","$1,294,000",98%,89%,96%,,"$79,598",Notre Dame,IN,31°/16°,59°/37°,83°/61°,62°/41°,144,173,"8,880",49%,51%,5%,6%,15%,59%,,7%
University of Oklahoma,N/A,Not Reported,Not Reported,23%,40%,560-660,580-670,23-29,36%,Considered,-,-,-,-,-,"$31,306 (IS) / $48,886 (OS)",Not Reported,"$8,222",66%,,28%,Through Freshman Year,,,,89%,58%,76%,,,Norman,OK,49°/26°,72°/48°,93°/71°,73°/49°,79.6,235,"23,351",52%,48%,5%,7%,15%,55%,,3%
University of Oregon,N/A,Not Reported,Not Reported,8%,5%,550-670,580-690,23-30,Not Reported,Not Considered,-,-,-,-,-,"$37,756 (IS) / $65,771 (OS)",42%,"$9,250",55%,"$12,074",28%,Through Freshman Year,"$46,084","$61,324","$764,000",86%,58%,73%,,,Eugene,OR,48°/34°,62°/40°,82°/52°,65°/42°,156,157,"20,622",56%,44%,3%,7%,17%,61%,,1%
University of Pennsylvania (UPenn),14%,5%,4%,50%,17%,770-800,740-770,34-36,3%,Not Considered,Nov 6,-,-,-,Jan 5,"$95,612",Data Not Reported,Data Not Reported,100%,"$68,578",52%,Through Sophomore Year,"$90,555","$111,371","$1,557,000",98%,86%,97%,,,Philadelphia,PA,41°/27°,64°/45°,87°/70°,67°/50°,117,205,"10,013",54%,46%,9%,30%,12%,26%,,13%
University of Pittsburgh,N/A,Not Reported,Not Reported,40%,10%,640-740,640-720,29-33,Not Reported,Important,-,-,-,-,-,"$40,904 (IS) / $61,600 (OS)",Not Reported,"$17,157",56%,,41%,None,"$54,240","$66,125","$800,000",93%,72%,84%,Chancellor's Scholarship,"$65,131",Pittsburgh,PA,37°/21°,63°/39°,84°/63°,64°/43°,137.3,162,"20,418",58%,42%,5%,15%,7%,61%,,4%
University of Portland,N/A,Not Reported,Not Reported,6%,3%,580-700,580-670,25-31,Not Reported,Considered,-,-,-,-,-,"$83,962",Not Reported,"$47,774",83%,,53%,Through Sophomore Year,,,,87%,70%,80%,,,Portland,OR,48°/37°,61°/43°,79°/56°,63°/45°,158,142,"2,986",65%,35%,3%,22%,21%,38%,,3%
University of Puget Sound,N/A,Not Reported,Not Reported,31%,10%,560-670,610-710,27-31,29%,Considered,-,-,-,-,-,"$86,880",Not Reported,"$55,121",92%,,70%,Through Sophomore Year,,,,83%,53%,72%,,,Tacoma,WA,47°/37°,60°/42°,77°/54°,61°/45°,152,141,"1,594",56%,44%,3%,7%,11%,66%,,0%
University of Redlands,N/A,Not Reported,Not Reported,18%*,5%*,530-653*,548-670*,25-30*,21%,Considered,-,-,-,-,-,"$86,868",Not Reported,"$52,887",98%,,60%,Through Senior Year,,,,82%,56%,69%,,,Redlands,CA,68°/40°,77°/47°,97°/61°,84°/52°,38,282,"2,045",56%,44%,5%,4%,45%,34%,,1%
University of Rhode Island (URI),N/A,Not Reported,Not Reported,27%,2%,500-630*,520-650,26-31*,67%,Considered,-,-,-,-,-,"$38,514 (IS) / $59,436 (OS)",Not Reported,"$13,313",60%,,39%,None,,,,85%,59%,71%,,"$71,473",Kingston,RI,38°/19°,57°/36°,81°/60°,63°/40°,123,201,"14,376",58%,42%,5%,3%,12%,73%,,1%
University of Richmond,N/A,Not Reported,Not Reported,19%,14%,710-780,700-750,33-35,9%,Not Considered,-,-,-,-,Jan 1,"$88,460",Not Reported,"$56,896",100%,,76%,None,,,,92%,78%,88%,Richmond Scholars Program,,Richmond,VA,47°/28°,70°/46°,89°/68°,70°/48°,111.9,211,"3,055",54%,46%,6%,6%,9%,62%,,11%
University of Rochester,N/A,Not Reported,Not Reported,19%,6%,730-790,680-750,32-34,19%,Important,-,-,-,-,Jan 5,"$92,172",Not Reported,"$59,915",97%,,71%,Through Sophomore Year,"$68,333","$79,042","$999,000",92%,75%,86%,,,Rochester,NY,32°/17°,56°/36°,82°/61°,60°/41°,142,165,"6,580",53%,47%,5%,18%,8%,39%,,23%
University of San Diego (USD),N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,49%,Considered,-,-,-,-,-,"$86,266",Not Reported,"$53,833",86%,,51%,Through Sophomore Year,"$64,995","$86,522","$1,049,000",91%,69%,82%,,,San Diego,CA,66°/49°,68°/56°,75°/65°,73°/61°,38,263,"5,851",56%,44%,5%,7%,28%,43%,,6%
University of San Francisco (USF),N/A,Not Reported,Not Reported,12%,3%,580-690,610-700,25-30,28%,Considered,-,-,-,-,-,"$86,337",Not Reported,"$39,952",71%,,38%,None,"$69,951","$89,812","$1,081,000",83%,63%,73%,,,San Francisco,CA,57°/44°,63°/48°,67°/54°,69°/53°,79,260,"5,321",65%,35%,8%,27%,22%,22%,,9%
University of Scranton,N/A,Not Reported,Not Reported,25%,3%,570-658,590-660,25-30,31%,Considered,-,-,-,-,-,"$77,168",Not Reported,"$15,647",75%,,59%,Through Sophomore Year,,,,86%,77%,80%,,,Scranton,PA,33°/16°,58°/36°,81°/59°,61°/38°,131,176,"3,613",56%,44%,3%,3%,13%,74%,,1%
University of South Carolina (USC),N/A,Not Reported,Not Reported,29%,15%,580-680,600-680,26-32,65%,Not Considered,-,-,-,-,-,"$37,778 (IS) / $62,466 (OS)",Not Reported,"$14,644",60%,,29%,Through Freshman Year,,,,90%,70%,78%,,"$63,749",Columbia,SC,57°/36°,78°/52°,94°/72°,77°/54°,108.9,218,"30,187",59%,41%,10%,4%,7%,72%,,1%
University of South Florida (USF),N/A,Not Reported,Not Reported,78%,22%,550-660,580-660,24-29,90%,Not Considered,-,-,-,-,-,"$26,516 (IS) / $37,430 (OS)",Not Reported,"$13,191",71%,,20%,None,,,,91%,65%,75%,,"$68,727",Tampa,FL,71°/51°,82°/62°,91°/75°,85°/68°,109,244,"38,525",57%,43%,8%,9%,24%,43%,,8%
University of Southern California (USC),N/A,Not Reported,Not Reported,30%,12%,740-790,710-760,32-35,Not Reported,Considered,-,-,-,-,Jan 15,"$99,689",27%,"$20,312",100%,"$55,261",36%,None,"$74,461","$92,498","$1,214,000",97%,74%,92%,Trustee Scholarship,"$90,602",Los Angeles,CA,66°/48°,70°/53°,79°/63°,75°/58°,32,292,"20,630",52%,48%,7%,23%,20%,26%,,13%
University of St Thomas,N/A,Not Reported,Not Reported,4%,35%,570-700,580-680,23-29,79%,Not Considered,-,-,-,-,-,"$74,921",Not Reported,"$33,217",77%,,49%,Through Sophomore Year,,,,86%,67%,78%,,,Saint Paul,MN,24°/7°,58°/37°,83°/64°,59°/39°,113,196,"6,305",51%,49%,9%,6%,11%,63%,,4%
University of Utah,N/A,Not Reported,Not Reported,10%,38%,590-690,600-690,22-29,93%,Not Considered,-,-,-,-,-,"$38,885 (IS) / $63,235 (OS)",Not Reported,"$13,241",54%,,18%,None,"$55,239","$67,170","$934,000",86%,37%,65%,,,Salt Lake City,UT,38°/22°,61°/39°,90°/65°,64°/42°,92,226,"28,064",48%,52%,1%,14%,64%,6%,,6%
University of Vermont (UVM),N/A,Not Reported,Not Reported,25%,10%,630-710,660-730,30-32,35%,Considered,-,-,-,-,-,"$37,756 (IS) / $65,796 (OS)",Not Reported,"$22,131",76%,,34%,Through Sophomore Year,,,,89%,70%,78%,,,Burlington,VT,28°/9°,55°/34°,81°/60°,57°/39°,150,159,"12,276",63%,37%,1%,3%,6%,83%,,1%
University of Virginia (UVA),N/A,Not Reported,Not Reported,46%,14%,710-780,700-760,32-35,10%,Not Considered,Nov 15,-,Nov 15,-,Jan 5,"$45,363 (IS) / $84,389 (OS)",Not Reported,"$34,534",100%,,41%,Through Freshman Year,"$72,359","$86,863","$1,125,000",97%,92%,95%,Jefferson Scholars Program,"$90,146",Charlottesville,VA,44°/26°,67°/45°,86°/67°,67°/47°,108,219,"17,901",56%,44%,8%,20%,8%,49%,,5%
University of Washington (Bothell),N/A,Not Reported,Not Reported,10-15%*,3-4%*,,,,78%,Important,-,-,-,-,Nov 15,"$35,467 (IS) / $65,703 (OS)",Not Reported,"$16,919",70%,,11%,None,,,,86%,49%,65%,,,Bothell,WA,48°/36°,59°/42°,76°/55°,60°/46°,162,164,"5,472",46%,54%,11%,35%,11%,28%,,3%
University of Washington (Seattle),N/A,Not Reported,Not Reported,10-15%*,3-4%*,,,,39%,Not Considered,-,-,-,-,Nov 15,"$35,738 (IS) / $66,972 (OS)",Not Reported,"$19,549",75%,,24%,None,"$62,979","$78,466","$1,063,000",94%,74%,84%,,"$120,252",Seattle,WA,48°/37°,59°/43°,76°/57°,60°/46°,155,152,"40,754",57%,43%,4%,27%,10%,33%,,12%
University of Wisconsin-Madison,N/A,Not Reported,Not Reported,15%,35%,690-780,660-730,29-33,32%*,Not Considered,-,-,-,-,Jan 15,"$30,624 (IS) / $62,649 (OS)",Not Reported,"$30,820",89%,,25%,None,"$61,275","$73,792","$996,000",95%,75%,89%,,"$81,997",Madison,WI,27°/10°,57°/36°,82°/61°,60°/39°,115,187,"39,083",53%,47%,2%,11%,9%,59%,,10%
Ursinus College,N/A,Not Reported,Not Reported,23%,3%,590-680,610-705,28-32,67%,Considered,-,-,-,-,-,"$82,884",Not Reported,"$46,283",82%,,90%,Through Senior Year,,,,85%,63%,74%,,,Collegeville,PA,38°/21°,63°/40°,86°/64°,65°/42°,111,204,"1,502",48%,52%,10%,3%,8%,72%,,1%
Vanderbilt University,16%,6%,4%,27%,25%,770-800,730-770,34-35,4%,Not Considered,Nov 1,Jan 2,-,-,Jan 1,"$97,374",9%,"$29,973",100%,"$75,271",84%,Through Senior Year,"$73,909","$91,565","$1,197,000",96%,90%,93%,Chancellor's Scholars; Cornelius Vanderbilt Scholarship; Ingram Scholars Program,,Nashville,TN,47°/27°,70°/46°,89°/68°,72°/47°,117,205,"7,221",52%,48%,9%,19%,11%,39%,,11%
